Team,Match_Played,Wins,Draw,Loss,Points
Arsenal,34,24,5,5,77
Aston Villa,34,20,6,8,66
Bournemouth,34,12,9,13,45
Brentford,34,9,8,17,35
Brighton,33,11,11,11,44
Burnley,34,5,8,21,23
Chelsea,32,13,8,11,47
Crystal Palace,34,10,9,15,39
Everton,34,11,8,15,41
Fulham,34,12,6,16,42
Liverpool,34,22,8,4,74
Luton Town,34,6,7,21,25
Manchester City,33,23,7,3,76
Manchester Utd,33,16,5,12,53
Newcastle Utd,33,15,5,13,50
Nott'ham Forest,34,7,9,18,30
Sheffield Utd,34,3,7,24,16
Tottenham,32,18,6,8,60
West Ham,34,13,9,12,48
Wolves,34,12,7,15,43
